time,HEADWATER,TAILWATER,GAGE-1
3652.5,-1271.609372795216,-934.7448857904112,2675.694849283565
3683.5,-1188.261301060313,-903.5831054311512,2561.700004102387
3712.5,-1278.176409412399,-975.0629350202267,2720.180987579276
3743.5,-1442.004051015501,-1100.483634066794,3005.022456134979
3773.5,-1576.905330781606,-1201.101467785193,3237.2669163879
3804.5,-1618.962622866518,-1225.229638961584,3303.035358949599
3834.5,-1620.040993259055,-1226.68701974491,3305.493504804481
3865.5,-1311.921746359311,-962.5430474926204,2742.977924242447
3896.5,-1013.654634611684,-720.4638998599266,2210.746269292129
3926.5,-714.1293711624322,-482.6272545261432,1680.983984991916
3957.5,-470.5878334167738,-294.0310782640357,1254.463688712827
3987.5,-348.1772495008419,-192.8673089487249,1033.234260710549
4018.5,-369.4084006626275,-198.4542179596795,1058.892682238768
4049.5,-516.7420195461192,-299.7491390259377,1303.458771322996
4077.5,-734.9309322439169,-459.6813306124608,1675.877297778371
4108.5,-994.1384673569625,-650.1545441998599,2119.227982983605
4138.5,-1192.723088892262,-793.8198301991263,2456.976814424103
4169.5,-1280.349228061208,-848.2665176857901,2597.767692952259
4199.5,-1281.987953787297,-851.2514500012608,2602.21329005118
4230.5,-1028.957401652003,-624.2866274023324,2130.822167457373
4261.5,-749.971258838184,-396.7025613146742,1631.889705348906
4291.5,-466.0770963968233,-171.1338111676248,1129.592632894951
4322.5,-236.3273319321415,6.301163148528133,727.5886168964605
4352.5,-129.8288067394785,86.91872918436871,542.4408460820684
4383.5,-127.1925056532082,92.91136813210964,534.1926372367491
